zone_id,counter,date,day_of_week,is_weekend,month,is_summer,temperature_f,precip_chance,nearby_event_type,base_foot_traffic,foot_traffic
belltown,Elliott Bay Trail (Myrtle Edwards),2024-02-18,6,1,2,0,40.8,0.11,none,3700,13999
belltown,Elliott Bay Trail (Myrtle Edwards),2024-02-19,0,0,2,0,41.6,0.0,none,3700,13600
belltown,Elliott Bay Trail (Myrtle Edwards),2024-02-20,1,0,2,0,44.0,0.16,none,3700,13200
belltown,Elliott Bay Trail (Myrtle Edwards),2024-02-21,2,0,2,0,46.1,0.64,none,3700,13600
belltown,Elliott Bay Trail (Myrtle Edwards),2024-02-22,3,0,2,0,47.4,0.02,none,3700,13200
belltown,Elliott Bay Trail (Myrtle Edwards),2024-02-23,4,0,2,0,43.6,0.0,none,3700,13200
belltown,Elliott Bay Trail (Myrtle Edwards),2024-02-24,5,1,2,0,46.0,0.06,none,3700,13200
belltown,Elliott Bay Trail (Myrtle Edwards),2024-02-25,6,1,2,0,44.7,0.41,none,3700,13999
belltown,Elliott Bay Trail (Myrtle Edwards),2024-02-26,0,0,2,0,38.6,0.42,none,3700,13200
belltown,Elliott Bay Trail (Myrtle Edwards),2024-02-27,1,0,2,0,36.7,0.17,none,3700,13200
belltown,Elliott Bay Trail (Myrtle Edwards),2024-02-28,2,0,2,0,46.9,1.0,none,3700,13999
belltown,Elliott Bay Trail (Myrtle Edwards),2024-02-29,3,0,2,0,42.5,1.0,none,3700,13999
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-01,4,0,3,0,39.6,0.8,none,3700,13999
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-02,5,1,3,0,39.5,0.74,none,3700,13999
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-03,6,1,3,0,38.9,0.12,none,3700,13999
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-04,0,0,3,0,39.3,0.06,none,3700,13999
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-05,1,0,3,0,36.9,0.0,none,3700,13999
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-06,2,0,3,0,36.5,0.0,none,3700,13999
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-07,3,0,3,0,37.3,0.0,none,3700,13600
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-08,4,0,3,0,43.0,0.03,none,3700,13600
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-09,5,1,3,0,46.0,0.35,none,3700,13999
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-10,6,1,3,0,45.7,1.0,none,3700,13799
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-11,0,0,3,0,45.4,0.88,none,3700,13999
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-12,1,0,3,0,45.2,0.14,none,3700,13600
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-13,2,0,3,0,44.0,0.01,none,3700,13999
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-14,3,0,3,0,42.8,0.0,none,3700,13999
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-15,4,0,3,0,46.8,0.0,none,3700,13999
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-16,5,1,3,0,50.6,0.0,none,3700,13600
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-17,6,1,3,0,53.0,0.0,none,3700,13200
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-18,0,0,3,0,50.0,0.0,none,3700,12801
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-19,1,0,3,0,50.0,0.0,none,3700,13200
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-20,2,0,3,0,48.4,0.09,none,3700,12801
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-21,3,0,3,0,50.4,0.15,none,3700,12002
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-22,4,0,3,0,49.5,0.34,none,3700,12801
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-23,5,1,3,0,48.8,0.82,none,3700,11602
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-24,6,1,3,0,50.4,0.04,none,3700,11602
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-25,0,0,3,0,48.0,0.46,none,3700,12801
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-26,1,0,3,0,48.4,0.71,none,3700,10803
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-27,2,0,3,0,49.5,1.0,none,3700,10005
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-28,3,0,3,0,46.8,0.98,none,3700,10005
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-29,4,0,3,0,48.0,0.0,none,3700,10005
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-30,5,1,3,0,48.4,0.0,none,3700,12002
belltown,Elliott Bay Trail (Myrtle Edwards),2024-03-31,6,1,3,0,46.6,0.0,none,3700,11602
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-01,0,0,4,0,49.8,0.0,none,3700,10803
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-02,1,0,4,0,53.9,0.07,none,3700,11602
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-03,2,0,4,0,45.6,0.12,none,3700,10005
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-04,3,0,4,0,44.8,0.11,none,3700,9605
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-05,4,0,4,0,44.3,0.01,none,3700,11203
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-06,5,1,4,0,46.2,0.22,none,3700,10404
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-07,6,1,4,0,47.7,0.01,none,3700,10005
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-08,0,0,4,0,46.1,0.33,none,3700,9605
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-09,1,0,4,0,51.0,0.23,none,3700,8806
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-10,2,0,4,0,49.6,0.0,none,3700,8007
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-11,3,0,4,0,47.5,0.08,none,3700,10803
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-12,4,0,4,0,50.0,0.0,none,3700,9605
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-13,5,1,4,0,50.8,0.0,none,3700,8407
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-14,6,1,4,0,50.8,0.0,none,3700,6409
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-15,0,0,4,0,49.0,0.0,none,3700,6409
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-16,1,0,4,0,47.1,0.16,none,3700,7608
belltown,Elliott Bay Trail (Myrtle Edwards),2024-04-17,2,0,4,0,46.8,0.0,none,3700,996
belltown,Elliott Bay Trail (Myrtle Edwards),2024-06-23,6,1,6,1,60.6,0.04,none,3700,4292
belltown,Elliott Bay Trail (Myrtle Edwards),2024-06-24,0,0,6,1,61.3,0.0,none,3700,4935
belltown,Elliott Bay Trail (Myrtle Edwards),2024-06-25,1,0,6,1,63.9,0.0,none,3700,5603
belltown,Elliott Bay Trail (Myrtle Edwards),2024-06-26,2,0,6,1,63.1,0.01,none,3700,3615
belltown,Elliott Bay Trail (Myrtle Edwards),2024-06-27,3,0,6,1,59.5,0.34,none,3700,2631
belltown,Elliott Bay Trail (Myrtle Edwards),2024-06-28,4,0,6,1,62.2,0.0,none,3700,4251
belltown,Elliott Bay Trail (Myrtle Edwards),2024-06-29,5,1,6,1,63.8,0.24,none,3700,4697
